ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-1125000:-3475000,-1125000,-3475000,494,494,382,351,583,0.494494494494495,0.494494494494495,0.382382382382382,0.351351351351351,0.583583583583584,999,999,999,999,999
-1125000:-3525000,-1125000,-3525000,941,941,868,916,920,0.941941941941942,0.941941941941942,0.868868868868869,0.916916916916917,0.920920920920921,999,999,999,999,999
-1125000:-3575000,-1125000,-3575000,775,775,654,651,797,0.775775775775776,0.775775775775776,0.654654654654655,0.651651651651652,0.797797797797798,999,999,999,999,999
-1125000:-3625000,-1125000,-3625000,982,982,798,916,993,0.982982982982983,0.982982982982983,0.798798798798799,0.916916916916917,0.993993993993994,999,999,999,999,999
-1125000:-3675000,-1125000,-3675000,978,978,749,889,998,0.978978978978979,0.978978978978979,0.74974974974975,0.88988988988989,0.998998998998999,999,999,999,999,999
-1125000:-3725000,-1125000,-3725000,992,992,853,970,999,0.992992992992993,0.992992992992993,0.853853853853854,0.970970970970971,1,999,999,999,999,999
-1125000:-3775000,-1125000,-3775000,995,995,946,992,999,0.995995995995996,0.995995995995996,0.946946946946947,0.992992992992993,1,999,999,999,999,999
-1125000:-3825000,-1125000,-3825000,797,797,83,8,969,0.797797797797798,0.797797797797798,0.0830830830830831,0.00800800800800801,0.96996996996997,999,999,999,999,999
-1175000:-2175000,-1175000,-2175000,887,887,920,915,642,0.887887887887888,0.887887887887888,0.920920920920921,0.915915915915916,0.642642642642643,999,999,999,999,999
-1175000:-2225000,-1175000,-2225000,950,950,898,942,895,0.950950950950951,0.950950950950951,0.898898898898899,0.942942942942943,0.895895895895896,999,999,999,999,999
