ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1175000:-3675000,-1175000,-3675000,0.997997997997998,0.997997997997998,0.980980980980981,0.997997997997998,0.990990990990991
-1175000:-3725000,-1175000,-3725000,0.995995995995996,0.995995995995996,,0.968968968968969,0.996996996996997
-1175000:-3775000,-1175000,-3775000,0.991991991991992,0.991991991991992,,0.983983983983984,1
-1175000:-3825000,-1175000,-3825000,0.993993993993994,0.993993993993994,,,0.998998998998999
-1225000:-2175000,-1225000,-2175000,,,,,
-1225000:-2225000,-1225000,-2225000,,,,,
-1225000:-2275000,-1225000,-2275000,,,,,
-1225000:-2325000,-1225000,-2325000,,,,,
-1225000:-2375000,-1225000,-2375000,0.95995995995996,0.95995995995996,,0.967967967967968,
-1225000:-2425000,-1225000,-2425000,,,,,
-1225000:-2475000,-1225000,-2475000,,,,,0.021021021021021
-1225000:-2525000,-1225000,-2525000,,,,,
-1225000:-2575000,-1225000,-2575000,,,,,0.049049049049049
-1225000:-2625000,-1225000,-2625000,,,,,
-1225000:-2675000,-1225000,-2675000,,,,,
-1225000:-2725000,-1225000,-2725000,,,,,
-1225000:-2825000,-1225000,-2825000,,,0.973973973973974,0.964964964964965,
-1225000:-2875000,-1225000,-2875000,,,,,
-1225000:-2925000,-1225000,-2925000,,,,,
-1225000:-2975000,-1225000,-2975000,,,,,
-1225000:-3025000,-1225000,-3025000,,,,,
-1225000:-3075000,-1225000,-3075000,0.019019019019019,0.019019019019019,,,0.013013013013013
-1225000:-3125000,-1225000,-3125000,,,,,
-1225000:-3175000,-1225000,-3175000,,,,,
-1225000:-3225000,-1225000,-3225000,,,,,
-1225000:-3275000,-1225000,-3275000,0.982982982982983,0.982982982982983,0.994994994994995,0.988988988988989,
-1225000:-3325000,-1225000,-3325000,,,,,
-1225000:-3375000,-1225000,-3375000,,,,,
-1225000:-3425000,-1225000,-3425000,,,,,
-1225000:-3475000,-1225000,-3475000,,,,,
-1225000:-3525000,-1225000,-3525000,,,,,
-1225000:-3575000,-1225000,-3575000,,,,0.021021021021021,0.995995995995996
-1225000:-3625000,-1225000,-3625000,,,,,0.988988988988989
-1225000:-3675000,-1225000,-3675000,0.993993993993994,0.993993993993994,,0.985985985985986,1
-1225000:-3725000,-1225000,-3725000,0.95995995995996,0.95995995995996,,,0.986986986986987
